Year,Інфекційні захворювання,Вік,Область,Value
2015,"Дифтерія, правець",6 років,,4.2
2016,"Дифтерія, правець",6 років,,58.8
2017,"Дифтерія, правець",6 років,,83.5
2018,"Дифтерія, правець",6 років,,83.4
2019,"Дифтерія, правець",6 років,,72.9
2020,"Дифтерія, правець",6 років,,59.7
2021,"Дифтерія, правець",6 років,,69.9
2022,"Дифтерія, правець",6 років,,68.2
2023,"Дифтерія, правець",6 років,,70.9
2024,"Дифтерія, правець",6 років,,77.0
2015,"Дифтерія, правець",дорослі,,0.1
2016,"Дифтерія, правець",дорослі,,20.6
2017,"Дифтерія, правець",дорослі,,44.8
2018,"Дифтерія, правець",дорослі,,55.6
2019,"Дифтерія, правець",дорослі,,83.4
2020,"Дифтерія, правець",дорослі,,47.0
2021,"Дифтерія, правець",дорослі,,45.4
2022,"Дифтерія, правець",дорослі,,40.2
2023,"Дифтерія, правець",дорослі,,52.0
2024,"Дифтерія, правець",дорослі,,80.7
2015,Кашлюк,до 1 року,,26.8
2016,Кашлюк,до 1 року,,21.5
2017,Кашлюк,до 1 року,,53.2
2018,Кашлюк,до 1 року,,69.3
2019,Кашлюк,до 1 року,,80.5
2020,Кашлюк,до 1 року,,80.1
2021,Кашлюк,до 1 року,,80.0
2022,Кашлюк,до 1 року,,72.9
2023,Кашлюк,до 1 року,,83.4
2024,Кашлюк,до 1 року,,88.3
2015,Кашлюк,18 місяців,,33.7
2016,Кашлюк,18 місяців,,23.7
2017,Кашлюк,18 місяців,,51.2
2018,Кашлюк,18 місяців,,66.1
2019,Кашлюк,18 місяців,,80.5
2020,Кашлюк,18 місяців,,78.1
2021,Кашлюк,18 місяців,,77.8
2022,Кашлюк,18 місяців,,71.9
2023,Кашлюк,18 місяців,,82.7
2024,Кашлюк,18 місяців,,86.8
2015,Поліомієліт,до 1 року,,63.7
2016,Поліомієліт,до 1 року,,60.9
2017,Поліомієліт,до 1 року,,51.9
2018,Поліомієліт,до 1 року,,71.1
2019,Поліомієліт,до 1 року,,78.4
2020,Поліомієліт,до 1 року,,83.0
2021,Поліомієліт,до 1 року,,80.1
2022,Поліомієліт,до 1 року,,68.9
2023,Поліомієліт,до 1 року,,84.9
2024,Поліомієліт,до 1 року,,87.8
2015,Поліомієліт,18 місяців,,86.1
2016,Поліомієліт,18 місяців,,66.9
2017,Поліомієліт,18 місяців,,71.4
2018,Поліомієліт,18 місяців,,67.8
2019,Поліомієліт,18 місяців,,78.7
2020,Поліомієліт,18 місяців,,83.0
2021,Поліомієліт,18 місяців,,80.5
2022,Поліомієліт,18 місяців,,66.7
2023,Поліомієліт,18 місяців,,85.5
2024,Поліомієліт,18 місяців,,87.3
2015,Поліомієліт,6 років,,49.3
2016,Поліомієліт,6 років,,86.1
2017,Поліомієліт,6 років,,88.2
2018,Поліомієліт,6 років,,81.3
2019,Поліомієліт,6 років,,80.3
2020,Поліомієліт,6 років,,81.7
2021,Поліомієліт,6 років,,78.4
2022,Поліомієліт,6 років,,63.4
2023,Поліомієліт,6 років,,82.3
2024,Поліомієліт,6 років,,83.6
2015,Поліомієліт,14 років,,51.0
2016,Поліомієліт,14 років,,80.5
2017,Поліомієліт,14 років,,88.1
2018,Поліомієліт,14 років,,80.2
2019,Поліомієліт,14 років,,80.9
2020,Поліомієліт,14 років,,81.8
2021,Поліомієліт,14 років,,76.1
2022,Поліомієліт,14 років,,58.9
2023,Поліомієліт,14 років,,78.9
2024,Поліомієліт,14 років,,80.8
2015,Поліомієліт,1 рік,,39.2
2016,Поліомієліт,1 рік,,52.1
2017,Поліомієліт,1 рік,,44.5
2018,Поліомієліт,1 рік,,57.7
2019,Поліомієліт,1 рік,,80.0
2020,Поліомієліт,1 рік,,83.6
2021,Поліомієліт,1 рік,,87.0
2022,Поліомієліт,1 рік,,69.8
2023,Поліомієліт,1 рік,,78.2
2024,Поліомієліт,1 рік,,92.7
2015,Туберкульоз,до 1 року,Вінницька,27.1
2015,Поліомієліт,до 1 року,Вінницька,73.6
2015,Поліомієліт,18 місяців,Вінницька,92.8
2015,Поліомієліт,6 років,Вінницька,39.6
2015,Поліомієліт,14 років,Вінницька,39.4
2015,"Дифтерія, правець",до 1 року,Вінницька,14.6
2015,Кашлюк,до 1 року,Вінницька,14.6
2015,Правець,до 1 року,Вінницька,14.6
2015,"Дифтерія, правець",18 місяців,Вінницька,27.4
2015,Кашлюк,18 місяців,Вінницька,27.4
2015,Правець,18 місяців,Вінницька,27.4
2015,"Дифтерія, правець",6 років,Вінницька,0.0
2015,Правець,6 років,Вінницька,0.0
2015,"Дифтерія, правець",дорослі,Вінницька,0.0
2015,Правець,дорослі,Вінницька,0.0
2015,Краснуха,1 рік,Вінницька,56.9
2015,"Кір, паротит, краснуха",1 рік,Вінницька,56.9
2015,Епідемічний паротит,1 рік,Вінницька,56.9
2015,Краснуха,6 років,Вінницька,65.6
2015,"Кір, паротит, краснуха",6 років,Вінницька,65.6
2015,Епідемічний паротит,6 років,Вінницька,65.6
2015,Гепатит В,до 1 року,Вінницька,29.9
2015,Туберкульоз,до 1 року,Волинська,16.4
2015,Поліомієліт,до 1 року,Волинська,53.6
2015,Поліомієліт,18 місяців,Волинська,91.6
2015,Поліомієліт,6 років,Волинська,37.8
2015,Поліомієліт,14 років,Волинська,38.0
2015,"Дифтерія, правець",до 1 року,Волинська,16.6
2015,Кашлюк,до 1 року,Волинська,16.6
2015,Правець,до 1 року,Волинська,16.6
2015,"Дифтерія, правець",18 місяців,Волинська,28.4
2015,Кашлюк,18 місяців,Волинська,28.4
2015,Правець,18 місяців,Волинська,28.4
2015,"Дифтерія, правець",6 років,Волинська,0.0
2015,Правець,6 років,Волинська,0.0
2015,"Дифтерія, правець",дорослі,Волинська,0.0
2015,Правець,дорослі,Волинська,0.0
2015,Краснуха,1 рік,Волинська,56.3
2015,"Кір, паротит, краснуха",1 рік,Волинська,56.3
2015,Епідемічний паротит,1 рік,Волинська,56.3
2015,Краснуха,6 років,Волинська,72.1
2015,"Кір, паротит, краснуха",6 років,Волинська,72.1
2015,Епідемічний паротит,6 років,Волинська,72.1
2015,Гепатит В,до 1 року,Волинська,14.4
2015,Туберкульоз,до 1 року,Дніпропетровська,28.6
2015,Поліомієліт,до 1 року,Дніпропетровська,81.8
2015,Поліомієліт,18 місяців,Дніпропетровська,99.7
2015,Поліомієліт,6 років,Дніпропетровська,48.0
2015,Поліомієліт,14 років,Дніпропетровська,38.7
2015,"Дифтерія, правець",до 1 року,Дніпропетровська,18.9
2015,Кашлюк,до 1 року,Дніпропетровська,18.9
2015,Правець,до 1 року,Дніпропетровська,18.9
2015,"Дифтерія, правець",18 місяців,Дніпропетровська,31.0
2015,Кашлюк,18 місяців,Дніпропетровська,31.0
2015,Правець,18 місяців,Дніпропетровська,31.0
2015,"Дифтерія, правець",6 років,Дніпропетровська,11.4
2015,Правець,6 років,Дніпропетровська,11.4
2015,"Дифтерія, правець",дорослі,Дніпропетровська,0.2
2015,Правець,дорослі,Дніпропетровська,0.2
2015,Краснуха,1 рік,Дніпропетровська,79.7
2015,"Кір, паротит, краснуха",1 рік,Дніпропетровська,79.7
2015,Епідемічний паротит,1 рік,Дніпропетровська,79.7
2015,Краснуха,6 років,Дніпропетровська,73.5
2015,"Кір, паротит, краснуха",6 років,Дніпропетровська,73.5
2015,Епідемічний паротит,6 років,Дніпропетровська,73.5
2015,Гепатит В,до 1 року,Дніпропетровська,41.1
2015,Туберкульоз,до 1 року,Донецька,51.5
2015,Поліомієліт,до 1 року,Донецька,82.0
2015,Поліомієліт,18 місяців,Донецька,100.0
2015,Поліомієліт,6 років,Донецька,74.5
2015,Поліомієліт,14 років,Донецька,67.0
2015,"Дифтерія, правець",до 1 року,Донецька,26.1
2015,Кашлюк,до 1 року,Донецька,26.1
2015,Правець,до 1 року,Донецька,26.1
2015,"Дифтерія, правець",18 місяців,Донецька,26.4
2015,Кашлюк,18 місяців,Донецька,26.4
2015,Правець,18 місяців,Донецька,26.4
2015,"Дифтерія, правець",6 років,Донецька,10.9
2015,Правець,6 років,Донецька,10.9
2015,"Дифтерія, правець",дорослі,Донецька,0.1
2015,Правець,дорослі,Донецька,0.1
2015,Краснуха,1 рік,Донецька,86.3
2015,"Кір, паротит, краснуха",1 рік,Донецька,86.3
2015,Епідемічний паротит,1 рік,Донецька,86.3
2015,Краснуха,6 років,Донецька,79.2
2015,"Кір, паротит, краснуха",6 років,Донецька,79.2
2015,Епідемічний паротит,6 років,Донецька,79.2
2015,Гепатит В,до 1 року,Донецька,6.2
2015,Туберкульоз,до 1 року,Житомирська,34.4
2015,Поліомієліт,до 1 року,Житомирська,79.4
2015,Поліомієліт,18 місяців,Житомирська,119.3
2015,Поліомієліт,6 років,Житомирська,67.6
2015,Поліомієліт,14 років,Житомирська,65.4
2015,"Дифтерія, правець",до 1 року,Житомирська,9.0
2015,Кашлюк,до 1 року,Житомирська,9.0
2015,Правець,до 1 року,Житомирська,9.0
2015,"Дифтерія, правець",18 місяців,Житомирська,7.9
2015,Кашлюк,18 місяців,Житомирська,7.9
2015,Правець,18 місяців,Житомирська,7.9
2015,"Дифтерія, правець",6 років,Житомирська,0.0
2015,Правець,6 років,Житомирська,0.0
2015,"Дифтерія, правець",дорослі,Житомирська,0.0
2015,Правець,дорослі,Житомирська,0.0
2015,Краснуха,1 рік,Житомирська,57.4
2015,"Кір, паротит, краснуха",1 рік,Житомирська,57.4
2015,Епідемічний паротит,1 рік,Житомирська,57.4
2015,Краснуха,6 років,Житомирська,67.2
2015,"Кір, паротит, краснуха",6 років,Житомирська,67.2
2015,Епідемічний паротит,6 років,Житомирська,67.2
2015,Гепатит В,до 1 року,Житомирська,41.6
2015,Туберкульоз,до 1 року,Закарпатська,37.9
2015,Поліомієліт,до 1 року,Закарпатська,57.8
2015,Поліомієліт,18 місяців,Закарпатська,72.6
2015,Поліомієліт,6 років,Закарпатська,62.7
2015,Поліомієліт,14 років,Закарпатська,60.2
2015,"Дифтерія, правець",до 1 року,Закарпатська,22.0
2015,Кашлюк,до 1 року,Закарпатська,22.0
2015,Правець,до 1 року,Закарпатська,22.0
2015,"Дифтерія, правець",18 місяців,Закарпатська,24.1
2015,Кашлюк,18 місяців,Закарпатська,24.1
2015,Правець,18 місяців,Закарпатська,24.1
2015,"Дифтерія, правець",6 років,Закарпатська,0.0
2015,Правець,6 років,Закарпатська,0.0
2015,"Дифтерія, правець",дорослі,Закарпатська,0.0
2015,Правець,дорослі,Закарпатська,0.0
2015,Краснуха,1 рік,Закарпатська,61.4
2015,"Кір, паротит, краснуха",1 рік,Закарпатська,61.4
2015,Епідемічний паротит,1 рік,Закарпатська,61.4
2015,Краснуха,6 років,Закарпатська,71.4
2015,"Кір, паротит, краснуха",6 років,Закарпатська,71.4
2015,Епідемічний паротит,6 років,Закарпатська,71.4
2015,Гепатит В,до 1 року,Закарпатська,19.1
2015,Туберкульоз,до 1 року,Запорізька,44.5
2015,Поліомієліт,до 1 року,Запорізька,47.8
2015,Поліомієліт,18 місяців,Запорізька,74.9
2015,Поліомієліт,6 років,Запорізька,43.9
2015,Поліомієліт,14 років,Запорізька,26.8
2015,"Дифтерія, правець",до 1 року,Запорізька,19.6
2015,Кашлюк,до 1 року,Запорізька,19.6
2015,Правець,до 1 року,Запорізька,19.6
2015,"Дифтерія, правець",18 місяців,Запорізька,20.5
2015,Кашлюк,18 місяців,Запорізька,20.5
2015,Правець,18 місяців,Запорізька,20.5
2015,"Дифтерія, правець",6 років,Запорізька,10.8
2015,Правець,6 років,Запорізька,10.8
2015,"Дифтерія, правець",дорослі,Запорізька,0.9
2015,Правець,дорослі,Запорізька,0.9
2015,Краснуха,1 рік,Запорізька,72.8
2015,"Кір, паротит, краснуха",1 рік,Запорізька,72.8
2015,Епідемічний паротит,1 рік,Запорізька,72.8
2015,Краснуха,6 років,Запорізька,50.7
2015,"Кір, паротит, краснуха",6 років,Запорізька,50.7
2015,Епідемічний паротит,6 років,Запорізька,50.7
2015,Гепатит В,до 1 року,Запорізька,31.3
2015,Туберкульоз,до 1 року,Івано-Франківська,29.5
2015,Поліомієліт,до 1 року,Івано-Франківська,43.1
2015,Поліомієліт,18 місяців,Івано-Франківська,56.2
2015,Поліомієліт,6 років,Івано-Франківська,47.4
2015,Поліомієліт,14 років,Івано-Франківська,47.7
2015,"Дифтерія, правець",до 1 року,Івано-Франківська,19.7
2015,Кашлюк,до 1 року,Івано-Франківська,19.7
2015,Правець,до 1 року,Івано-Франківська,19.7
2015,"Дифтерія, правець",18 місяців,Івано-Франківська,24.1
2015,Кашлюк,18 місяців,Івано-Франківська,24.1
2015,Правець,18 місяців,Івано-Франківська,24.1
2015,"Дифтерія, правець",6 років,Івано-Франківська,0.0
2015,Правець,6 років,Івано-Франківська,0.0
2015,"Дифтерія, правець",дорослі,Івано-Франківська,0.0
2015,Правець,дорослі,Івано-Франківська,0.0
2015,Краснуха,1 рік,Івано-Франківська,64.0
2015,"Кір, паротит, краснуха",1 рік,Івано-Франківська,64.0
2015,Епідемічний паротит,1 рік,Івано-Франківська,64.0
2015,Краснуха,6 років,Івано-Франківська,47.8
2015,"Кір, паротит, краснуха",6 років,Івано-Франківська,47.8
2015,Епідемічний паротит,6 років,Івано-Франківська,47.8
2015,Гепатит В,до 1 року,Івано-Франківська,38.5
2015,Туберкульоз,до 1 року,Кіровоградська,51.9
2015,Поліомієліт,до 1 року,Кіровоградська,66.9
2015,Поліомієліт,18 місяців,Кіровоградська,94.1
2015,Поліомієліт,6 років,Кіровоградська,75.8
2015,Поліомієліт,14 років,Кіровоградська,65.6
2015,"Дифтерія, правець",до 1 року,Кіровоградська,39.4
2015,Кашлюк,до 1 року,Кіровоградська,39.4
2015,Правець,до 1 року,Кіровоградська,39.4
2015,"Дифтерія, правець",18 місяців,Кіровоградська,28.3
2015,Кашлюк,18 місяців,Кіровоградська,28.3
2015,Правець,18 місяців,Кіровоградська,28.3
2015,"Дифтерія, правець",6 років,Кіровоградська,0.0
2015,Правець,6 років,Кіровоградська,0.0
2015,"Дифтерія, правець",дорослі,Кіровоградська,0.0
2015,Правець,дорослі,Кіровоградська,0.0
2015,Краснуха,1 рік,Кіровоградська,39.6
2015,"Кір, паротит, краснуха",1 рік,Кіровоградська,39.6
2015,Епідемічний паротит,1 рік,Кіровоградська,39.6
2015,Краснуха,6 років,Кіровоградська,27.4
2015,"Кір, паротит, краснуха",6 років,Кіровоградська,27.4
2015,Епідемічний паротит,6 років,Кіровоградська,27.4
2015,Гепатит В,до 1 року,Кіровоградська,22.2
2015,Туберкульоз,до 1 року,Луганська,78.4
2015,Поліомієліт,до 1 року,Луганська,50.2
2015,Поліомієліт,18 місяців,Луганська,70.6
2015,Поліомієліт,6 років,Луганська,52.4
2015,Поліомієліт,14 років,Луганська,68.9
2015,"Дифтерія, правець",до 1 року,Луганська,51.5
2015,Кашлюк,до 1 року,Луганська,51.5
2015,Правець,до 1 року,Луганська,51.5
2015,"Дифтерія, правець",18 місяців,Луганська,57.0
2015,Кашлюк,18 місяців,Луганська,57.0
2015,Правець,18 місяців,Луганська,57.0
2015,"Дифтерія, правець",6 років,Луганська,11.8
2015,Правець,6 років,Луганська,11.8
2015,"Дифтерія, правець",дорослі,Луганська,0.2
2015,Правець,дорослі,Луганська,0.2
2015,Краснуха,1 рік,Луганська,96.6
2015,"Кір, паротит, краснуха",1 рік,Луганська,96.6
2015,Епідемічний паротит,1 рік,Луганська,96.6
2015,Краснуха,6 років,Луганська,67.8
2015,"Кір, паротит, краснуха",6 років,Луганська,67.8
2015,Епідемічний паротит,6 років,Луганська,67.8
2015,Гепатит В,до 1 року,Луганська,45.5
2015,Туберкульоз,до 1 року,Львівська,15.2
2015,Поліомієліт,до 1 року,Львівська,59.0
2015,Поліомієліт,18 місяців,Львівська,80.5
2015,Поліомієліт,6 років,Львівська,42.6
2015,Поліомієліт,14 років,Львівська,56.8
2015,"Дифтерія, правець",до 1 року,Львівська,24.0
2015,Кашлюк,до 1 року,Львівська,24.0
2015,Правець,до 1 року,Львівська,24.0
2015,"Дифтерія, правець",18 місяців,Львівська,28.9
2015,Кашлюк,18 місяців,Львівська,28.9
2015,Правець,18 місяців,Львівська,28.9
2015,"Дифтерія, правець",6 років,Львівська,0.0
2015,Правець,6 років,Львівська,0.0
2015,"Дифтерія, правець",дорослі,Львівська,0.0
2015,Правець,дорослі,Львівська,0.0
2015,Краснуха,1 рік,Львівська,73.0
2015,"Кір, паротит, краснуха",1 рік,Львівська,73.0
2015,Епідемічний паротит,1 рік,Львівська,73.0
2015,Краснуха,6 років,Львівська,77.6
2015,"Кір, паротит, краснуха",6 років,Львівська,77.6
2015,Епідемічний паротит,6 років,Львівська,77.6
2015,Гепатит В,до 1 року,Львівська,26.9
2015,Туберкульоз,до 1 року,Миколаївська,61.0
2015,Поліомієліт,до 1 року,Миколаївська,48.5
2015,Поліомієліт,18 місяців,Миколаївська,65.5
2015,Поліомієліт,6 років,Миколаївська,59.6
2015,Поліомієліт,14 років,Миколаївська,86.1
2015,"Дифтерія, правець",до 1 року,Миколаївська,21.9
2015,Кашлюк,до 1 року,Миколаївська,21.9
2015,Правець,до 1 року,Миколаївська,21.9
2015,"Дифтерія, правець",18 місяців,Миколаївська,11.7
2015,Кашлюк,18 місяців,Миколаївська,11.7
2015,Правець,18 місяців,Миколаївська,11.7
2015,"Дифтерія, правець",6 років,Миколаївська,0.0
2015,Правець,6 років,Миколаївська,0.0
2015,"Дифтерія, правець",дорослі,Миколаївська,0.0
2015,Правець,дорослі,Миколаївська,0.0
2015,Краснуха,1 рік,Миколаївська,75.0
2015,"Кір, паротит, краснуха",1 рік,Миколаївська,75.0
2015,Епідемічний паротит,1 рік,Миколаївська,75.0
2015,Краснуха,6 років,Миколаївська,63.4
2015,"Кір, паротит, краснуха",6 років,Миколаївська,63.4
2015,Епідемічний паротит,6 років,Миколаївська,63.4
2015,Гепатит В,до 1 року,Миколаївська,20.9
2015,Туберкульоз,до 1 року,Одеська,39.3
2015,Поліомієліт,до 1 року,Одеська,65.9
2015,Поліомієліт,18 місяців,Одеська,88.1
2015,Поліомієліт,6 років,Одеська,54.3
2015,Поліомієліт,14 років,Одеська,52.1
2015,"Дифтерія, правець",до 1 року,Одеська,46.7
2015,Кашлюк,до 1 року,Одеська,46.7
2015,Правець,до 1 року,Одеська,46.7
2015,"Дифтерія, правець",18 місяців,Одеська,58.0
2015,Кашлюк,18 місяців,Одеська,58.0
2015,Правець,18 місяців,Одеська,58.0
2015,"Дифтерія, правець",6 років,Одеська,7.2
2015,Правець,6 років,Одеська,7.2
2015,"Дифтерія, правець",дорослі,Одеська,0.1
2015,Правець,дорослі,Одеська,0.1
2015,Краснуха,1 рік,Одеська,61.9
2015,"Кір, паротит, краснуха",1 рік,Одеська,61.9
2015,Епідемічний паротит,1 рік,Одеська,61.9
2015,Краснуха,6 років,Одеська,65.6
2015,"Кір, паротит, краснуха",6 років,Одеська,65.6
2015,Епідемічний паротит,6 років,Одеська,65.6
2015,Гепатит В,до 1 року,Одеська,11.4
2015,Туберкульоз,до 1 року,Полтавська,16.5
2015,Поліомієліт,до 1 року,Полтавська,23.4
2015,Поліомієліт,18 місяців,Полтавська,87.7
2015,Поліомієліт,6 років,Полтавська,15.9
2015,Поліомієліт,14 років,Полтавська,37.8
2015,"Дифтерія, правець",до 1 року,Полтавська,14.9
2015,Кашлюк,до 1 року,Полтавська,14.9
2015,Правець,до 1 року,Полтавська,14.9
2015,"Дифтерія, правець",18 місяців,Полтавська,55.6
2015,Кашлюк,18 місяців,Полтавська,55.6
2015,Правець,18 місяців,Полтавська,55.6
2015,"Дифтерія, правець",6 років,Полтавська,0.5
2015,Правець,6 років,Полтавська,0.5
2015,"Дифтерія, правець",дорослі,Полтавська,0.0
2015,Правець,дорослі,Полтавська,0.0
2015,Краснуха,1 рік,Полтавська,31.5
2015,"Кір, паротит, краснуха",1 рік,Полтавська,31.5
2015,Епідемічний паротит,1 рік,Полтавська,31.5
2015,Краснуха,6 років,Полтавська,23.4
2015,"Кір, паротит, краснуха",6 років,Полтавська,23.4
2015,Епідемічний паротит,6 років,Полтавська,23.4
2015,Гепатит В,до 1 року,Полтавська,6.3
2015,Туберкульоз,до 1 року,Рівненська,25.3
2015,Поліомієліт,до 1 року,Рівненська,63.6
2015,Поліомієліт,18 місяців,Рівненська,78.2
2015,Поліомієліт,6 років,Рівненська,68.2
2015,Поліомієліт,14 років,Рівненська,78.6
2015,"Дифтерія, правець",до 1 року,Рівненська,11.8
2015,Кашлюк,до 1 року,Рівненська,11.8
2015,Правець,до 1 року,Рівненська,11.8
2015,"Дифтерія, правець",18 місяців,Рівненська,27.2
2015,Кашлюк,18 місяців,Рівненська,27.2
2015,Правець,18 місяців,Рівненська,27.2
2015,"Дифтерія, правець",6 років,Рівненська,0.0
2015,Правець,6 років,Рівненська,0.0
2015,"Дифтерія, правець",дорослі,Рівненська,0.0
2015,Правець,дорослі,Рівненська,0.0
2015,Краснуха,1 рік,Рівненська,43.3
2015,"Кір, паротит, краснуха",1 рік,Рівненська,43.3
2015,Епідемічний паротит,1 рік,Рівненська,43.3
2015,Краснуха,6 років,Рівненська,58.0
2015,"Кір, паротит, краснуха",6 років,Рівненська,58.0
2015,Епідемічний паротит,6 років,Рівненська,58.0
2015,Гепатит В,до 1 року,Рівненська,10.1
2015,Туберкульоз,до 1 року,Сумська,67.9
2015,Поліомієліт,до 1 року,Сумська,63.6
2015,Поліомієліт,18 місяців,Сумська,84.3
2015,Поліомієліт,6 років,Сумська,29.8
2015,Поліомієліт,14 років,Сумська,24.1
2015,"Дифтерія, правець",до 1 року,Сумська,18.5
2015,Кашлюк,до 1 року,Сумська,18.5
2015,Правець,до 1 року,Сумська,18.5
2015,"Дифтерія, правець",18 місяців,Сумська,19.5
2015,Кашлюк,18 місяців,Сумська,19.5
2015,Правець,18 місяців,Сумська,19.5
2015,"Дифтерія, правець",6 років,Сумська,0.1
2015,Правець,6 років,Сумська,0.1
2015,"Дифтерія, правець",дорослі,Сумська,0.1
2015,Правець,дорослі,Сумська,0.1
2015,Краснуха,1 рік,Сумська,44.5
2015,"Кір, паротит, краснуха",1 рік,Сумська,44.5
2015,Епідемічний паротит,1 рік,Сумська,44.5
2015,Краснуха,6 років,Сумська,25.6
2015,"Кір, паротит, краснуха",6 років,Сумська,25.6
2015,Епідемічний паротит,6 років,Сумська,25.6
2015,Гепатит В,до 1 року,Сумська,14.7
2015,Туберкульоз,до 1 року,Тернопільська,17.4
2015,Поліомієліт,до 1 року,Тернопільська,37.1
2015,Поліомієліт,18 місяців,Тернопільська,80.9
2015,Поліомієліт,6 років,Тернопільська,43.0
2015,Поліомієліт,14 років,Тернопільська,49.3
2015,"Дифтерія, правець",до 1 року,Тернопільська,28.7
2015,Кашлюк,до 1 року,Тернопільська,28.7
2015,Правець,до 1 року,Тернопільська,28.7
2015,"Дифтерія, правець",18 місяців,Тернопільська,48.7
2015,Кашлюк,18 місяців,Тернопільська,48.7
2015,Правець,18 місяців,Тернопільська,48.7
2015,"Дифтерія, правець",6 років,Тернопільська,0.1
2015,Правець,6 років,Тернопільська,0.1
2015,"Дифтерія, правець",дорослі,Тернопільська,0.0
2015,Правець,дорослі,Тернопільська,0.0
2015,Краснуха,1 рік,Тернопільська,64.3
2015,"Кір, паротит, краснуха",1 рік,Тернопільська,64.3
2015,Епідемічний паротит,1 рік,Тернопільська,64.3
2015,Краснуха,6 років,Тернопільська,68.4
2015,"Кір, паротит, краснуха",6 років,Тернопільська,68.4
2015,Епідемічний паротит,6 років,Тернопільська,68.4
2015,Гепатит В,до 1 року,Тернопільська,16.6
2015,Туберкульоз,до 1 року,Харківська,73.0
2015,Поліомієліт,до 1 року,Харківська,46.9
2015,Поліомієліт,18 місяців,Харківська,99.3
2015,Поліомієліт,6 років,Харківська,29.2
2015,Поліомієліт,14 років,Харківська,34.9
2015,"Дифтерія, правець",до 1 року,Харківська,21.6
2015,Кашлюк,до 1 року,Харківська,21.6
2015,Правець,до 1 року,Харківська,21.6
2015,"Дифтерія, правець",18 місяців,Харківська,57.8
2015,Кашлюк,18 місяців,Харківська,57.8
2015,Правець,18 місяців,Харківська,57.8
2015,"Дифтерія, правець",6 років,Харківська,11.9
2015,Правець,6 років,Харківська,11.9
2015,"Дифтерія, правець",дорослі,Харківська,0.0
2015,Правець,дорослі,Харківська,0.0
2015,Краснуха,1 рік,Харківська,51.8
2015,"Кір, паротит, краснуха",1 рік,Харківська,51.8
2015,Епідемічний паротит,1 рік,Харківська,51.8
2015,Краснуха,6 років,Харківська,56.0
2015,"Кір, паротит, краснуха",6 років,Харківська,56.0
2015,Епідемічний паротит,6 років,Харківська,56.0
2015,Гепатит В,до 1 року,Харківська,16.6
