Year,Region,Sex,Age,Type of residence,Value
2017,17_reg_Zaporizhzhya,,,,83.91
2018,17_reg_Zaporizhzhya,,,,83.25
2019,17_reg_Zaporizhzhya,,,,83.64
2020,17_reg_Zaporizhzhya,,,,83.56
2021,17_reg_Zaporizhzhya,,,,82.93
2022,17_reg_Zaporizhzhya,,,,81.82
2023,17_reg_Zaporizhzhya,,,,
2015,18_reg_Ivano-Frankivsk,,,,81.27
2016,18_reg_Ivano-Frankivsk,,,,81.41
2017,18_reg_Ivano-Frankivsk,,,,81.87
2018,18_reg_Ivano-Frankivsk,,,,81.70
2019,18_reg_Ivano-Frankivsk,,,,82.56
2020,18_reg_Ivano-Frankivsk,,,,83.03
2021,18_reg_Ivano-Frankivsk,,,,82.84
2022,18_reg_Ivano-Frankivsk,,,,82.44
2023,18_reg_Ivano-Frankivsk,,,,
2015,19_reg_Kyiv,,,,92.53
2016,19_reg_Kyiv,,,,93.35
2017,19_reg_Kyiv,,,,93.72
2018,19_reg_Kyiv,,,,93.51
2019,19_reg_Kyiv,,,,94.30
2020,19_reg_Kyiv,,,,94.55
2021,19_reg_Kyiv,,,,94.11
2022,19_reg_Kyiv,,,,93.85
2023,19_reg_Kyiv,,,,
2015,20_reg_Kirovohrad,,,,83.53
2016,20_reg_Kirovohrad,,,,83.20
2017,20_reg_Kirovohrad,,,,82.48
2018,20_reg_Kirovohrad,,,,82.42
2019,20_reg_Kirovohrad,,,,83.20
2020,20_reg_Kirovohrad,,,,82.95
2021,20_reg_Kirovohrad,,,,82.72
2022,20_reg_Kirovohrad,,,,82.16
2023,20_reg_Kirovohrad,,,,
2015,21_reg_Luhansk,,,,27.85
2016,21_reg_Luhansk,,,,24.09
2017,21_reg_Luhansk,,,,24.04
2018,21_reg_Luhansk,,,,24.03
2019,21_reg_Luhansk,,,,24.09
2020,21_reg_Luhansk,,,,23.95
2021,21_reg_Luhansk,,,,24.67
2022,21_reg_Luhansk,,,,25.95
2023,21_reg_Luhansk,,,,
2015,22_reg_Lviv,,,,82.77
2016,22_reg_Lviv,,,,83.45
2017,22_reg_Lviv,,,,84.12
2018,22_reg_Lviv,,,,84.56
2019,22_reg_Lviv,,,,85.25
2020,22_reg_Lviv,,,,85.54
2021,22_reg_Lviv,,,,85.39
2022,22_reg_Lviv,,,,85.09
2023,22_reg_Lviv,,,,
2015,23_reg_Mykolayiv,,,,82.26
2016,23_reg_Mykolayiv,,,,81.98
2017,23_reg_Mykolayiv,,,,81.74
2018,23_reg_Mykolayiv,,,,81.81
2019,23_reg_Mykolayiv,,,,82.33
2020,23_reg_Mykolayiv,,,,82.28
2021,23_reg_Mykolayiv,,,,81.51
2022,23_reg_Mykolayiv,,,,81.39
2023,23_reg_Mykolayiv,,,,
2015,24_reg_Odesa,,,,85.65
2016,24_reg_Odesa,,,,85.11
2017,24_reg_Odesa,,,,85.15
2018,24_reg_Odesa,,,,84.87
2019,24_reg_Odesa,,,,85.15
2020,24_reg_Odesa,,,,84.93
2021,24_reg_Odesa,,,,84.68
2022,24_reg_Odesa,,,,84.76
2023,24_reg_Odesa,,,,
2015,25_reg_Poltava,,,,84.50
2016,25_reg_Poltava,,,,84.24
2017,25_reg_Poltava,,,,84.34
2018,25_reg_Poltava,,,,84.52
2019,25_reg_Poltava,,,,84.85
2020,25_reg_Poltava,,,,84.79
2021,25_reg_Poltava,,,,84.39
2022,25_reg_Poltava,,,,83.98
2023,25_reg_Poltava,,,,
2015,26_reg_Rivne,,,,83.85
2016,26_reg_Rivne,,,,84.19
2017,26_reg_Rivne,,,,84.70
2018,26_reg_Rivne,,,,84.86
2019,26_reg_Rivne,,,,85.94
2020,26_reg_Rivne,,,,86.32
2021,26_reg_Rivne,,,,86.36
2022,26_reg_Rivne,,,,86.09
2023,26_reg_Rivne,,,,
2015,27_reg_Sumy,,,,81.89
2016,27_reg_Sumy,,,,81.90
2017,27_reg_Sumy,,,,81.94
2018,27_reg_Sumy,,,,82.30
2019,27_reg_Sumy,,,,83.11
2020,27_reg_Sumy,,,,83.40
2021,27_reg_Sumy,,,,83.30
2022,27_reg_Sumy,,,,82.79
2023,27_reg_Sumy,,,,
2015,28_reg_Ternopil,,,,80.55
2016,28_reg_Ternopil,,,,80.04
2017,28_reg_Ternopil,,,,80.48
2018,28_reg_Ternopil,,,,80.72
2019,28_reg_Ternopil,,,,81.25
2020,28_reg_Ternopil,,,,81.36
2021,28_reg_Ternopil,,,,81.15
2022,28_reg_Ternopil,,,,80.48
2023,28_reg_Ternopil,,,,
2015,29_reg_Kharkiv,,,,85.14
2016,29_reg_Kharkiv,,,,84.39
2017,29_reg_Kharkiv,,,,85.26
2018,29_reg_Kharkiv,,,,84.26
2019,29_reg_Kharkiv,,,,84.32
2020,29_reg_Kharkiv,,,,84.72
2021,29_reg_Kharkiv,,,,84.59
2022,29_reg_Kharkiv,,,,84.39
2023,29_reg_Kharkiv,,,,
2015,30_reg_Kherson,,,,84.40
2016,30_reg_Kherson,,,,83.30
2017,30_reg_Kherson,,,,82.60
2018,30_reg_Kherson,,,,82.67
2019,30_reg_Kherson,,,,83.23
2020,30_reg_Kherson,,,,83.36
2021,30_reg_Kherson,,,,82.78
2022,30_reg_Kherson,,,,82.33
2023,30_reg_Kherson,,,,
2015,31_reg_Khmelnytskiy,,,,83.31
2016,31_reg_Khmelnytskiy,,,,83.39
2017,31_reg_Khmelnytskiy,,,,83.15
2018,31_reg_Khmelnytskiy,,,,83.56
2019,31_reg_Khmelnytskiy,,,,84.34
2020,31_reg_Khmelnytskiy,,,,84.81
2021,31_reg_Khmelnytskiy,,,,84.44
2022,31_reg_Khmelnytskiy,,,,83.92
2023,31_reg_Khmelnytskiy,,,,
2015,32_reg_Cherkasy,,,,82.95
2016,32_reg_Cherkasy,,,,83.39
2017,32_reg_Cherkasy,,,,83.45
2018,32_reg_Cherkasy,,,,83.95
2019,32_reg_Cherkasy,,,,84.69
2020,32_reg_Cherkasy,,,,84.77
2021,32_reg_Cherkasy,,,,84.55
2022,32_reg_Cherkasy,,,,83.99
2023,32_reg_Cherkasy,,,,
2015,33_reg_Chernivtsi,,,,82.16
2016,33_reg_Chernivtsi,,,,82.38
2017,33_reg_Chernivtsi,,,,83.22
2018,33_reg_Chernivtsi,,,,83.14
2019,33_reg_Chernivtsi,,,,84.42
2020,33_reg_Chernivtsi,,,,84.56
2021,33_reg_Chernivtsi,,,,84.36
2022,33_reg_Chernivtsi,,,,83.81
2023,33_reg_Chernivtsi,,,,
2015,34_reg_Chernihiv,,,,85.51
2016,34_reg_Chernihiv,,,,85.69
2017,34_reg_Chernihiv,,,,85.44
2018,34_reg_Chernihiv,,,,85.54
2019,34_reg_Chernihiv,,,,86.44
2020,34_reg_Chernihiv,,,,86.80
2021,34_reg_Chernihiv,,,,86.38
2022,34_reg_Chernihiv,,,,86.00
2023,34_reg_Chernihiv,,,,
2015,35_reg_Kyiv_city,,,,84.83
2016,35_reg_Kyiv_city,,,,85.01
2017,35_reg_Kyiv_city,,,,85.83
2018,35_reg_Kyiv_city,,,,85.49
2019,35_reg_Kyiv_city,,,,84.84
2020,35_reg_Kyiv_city,,,,84.92
2021,35_reg_Kyiv_city,,,,85.63
2022,35_reg_Kyiv_city,,,,86.43
2023,35_reg_Kyiv_city,,,,
2015,,females,,,77.91
2016,,females,,,77.42
2017,,females,,,77.65
2018,,females,,,77.70
2019,,females,,,78.20
2020,,females,,,78.37
2021,,females,,,78.36
2022,,females,,,78.54
2015,,males,,,75.76
2016,,males,,,75.29
2017,,males,,,75.41
2018,,males,,,75.35
2019,,males,,,75.95
2020,,males,,,76.09
2021,,males,,,76.20
2022,,males,,,76.43
2015,,,aged_6,,58.43
2016,,,aged_6,,58.68
2017,,,aged_6,,58.08
2018,,,aged_6,,57.94
2019,,,aged_6,,62.44
2020,,,aged_6,,63.68
2021,,,aged_6,,64.88
2022,,,aged_6,,67.32
2015,,,aged_7,,91.54
2016,,,aged_7,,89.03
2017,,,aged_7,,89.20
2018,,,aged_7,,89.28
2019,,,aged_7,,88.57
2020,,,aged_7,,88.90
2021,,,aged_7,,88.35
2022,,,aged_7,,90.36
2015,,,aged_8,,92.40
2016,,,aged_8,,91.61
2017,,,aged_8,,90.16
2018,,,aged_8,,90.31
2019,,,aged_8,,90.38
2020,,,aged_8,,89.29
2021,,,aged_8,,89.94
2022,,,aged_8,,89.33
2015,,,aged_9,,91.46
2016,,,aged_9,,91.23
2017,,,aged_9,,91.25
2018,,,aged_9,,90.15
2019,,,aged_9,,90.26
2020,,,aged_9,,90.10
2021,,,aged_9,,89.46
2022,,,aged_9,,89.86
2015,,,aged_10,,91.32
2016,,,aged_10,,90.20
2017,,,aged_10,,90.77
2018,,,aged_10,,90.60
2019,,,aged_10,,89.42
2020,,,aged_10,,89.77
2021,,,aged_10,,89.95
2022,,,aged_10,,89.14
2015,,,aged_11,,92.83
2016,,,aged_11,,90.25
2017,,,aged_11,,89.74
2018,,,aged_11,,90.51
2019,,,aged_11,,90.55
2020,,,aged_11,,89.15
2021,,,aged_11,,89.44
2022,,,aged_11,,89.72
2015,,,aged_12,,92.65
2016,,,aged_12,,91.68
2017,,,aged_12,,90.08
2018,,,aged_12,,89.84
2019,,,aged_12,,90.25
2020,,,aged_12,,90.21
2021,,,aged_12,,89.17
2022,,,aged_12,,89.30
2015,,,aged_13,,93.87
2016,,,aged_13,,91.81
2017,,,aged_13,,91.48
2018,,,aged_13,,89.58
2019,,,aged_13,,89.34
2020,,,aged_13,,89.94
2021,,,aged_13,,90.05
2022,,,aged_13,,88.57
2015,,,aged_14,,93.15
2016,,,aged_14,,92.00
2017,,,aged_14,,90.72
2018,,,aged_14,,90.67
2019,,,aged_14,,88.97
2020,,,aged_14,,88.55
2021,,,aged_14,,89.16
2022,,,aged_14,,89.37
2015,,,aged_15,,68.44
2016,,,aged_15,,67.89
2017,,,aged_15,,66.36
2018,,,aged_15,,65.64
2019,,,aged_15,,67.45
2020,,,aged_15,,67.17
2021,,,aged_15,,68.07
2022,,,aged_15,,67.69
2015,,,aged_16,,55.42
2016,,,aged_16,,54.02
2017,,,aged_16,,53.75
2018,,,aged_16,,53.07
2019,,,aged_16,,53.72
2020,,,aged_16,,56.16
2021,,,aged_16,,56.28
2022,,,aged_16,,56.82
2015,,,aged_17,,17.23
2016,,,aged_17,,16.53
2017,,,aged_17,,16.12
2018,,,aged_17,,15.77
2019,,,aged_17,,15.64
2020,,,aged_17,,16.44
2021,,,aged_17,,15.83
2022,,,aged_17,,16.61
2015,,,,urban,79.26
2016,,,,urban,78.95
2017,,,,urban,79.94
2018,,,,urban,80.31
2019,,,,urban,80.96
2020,,,,urban,81.38
2021,,,,urban,81.75
2022,,,,urban,82.69
2015,,,,rural,72.20
2016,,,,rural,71.28
2017,,,,rural,69.82
2018,,,,rural,68.96
2019,,,,rural,69.14
2020,,,,rural,68.68
2021,,,,rural,68.06
2022,,,,rural,66.80
