Year,Type of economic activity,Region,Value
2016,A164,,
2016,A165,,
2016,A166,,
2016,A167,,
2016,A168,,
2016,A169,,
2016,A170,,
2016,A171,,
2016,A172,,
2016,A173,,
2016,A174,,
2016,A175,,
2016,A176,,
2016,A177,,
2016,A178,,
2016,A179,,
2016,A180,,
2016,A182,,
2016,A184,,
2016,A185,,
2016,A186,,
2016,A187,,
2016,A188,,
2016,A189,,
2016,A190,,
2016,A191,,
2016,A192,,
2016,A193,,
2016,A195,,
2016,A196,,
2016,A197,,
2016,A198,,
2016,A199,,
2016,A200,,
2016,A201,,
2016,A202,,
2016,A203,,
2016,A204,,
2016,A205,,
2016,A206,,
2016,A207,,
2016,A208,,
2016,A209,,
2016,A210,,
2016,A211,,
2016,A212,,
2016,A213,,
2016,A214,,
2016,A216,,
2016,A217,,
2016,A218,,
2016,A219,,
2016,A220,,
2016,A221,,
2016,A222,,
2016,A223,,
2016,A224,,
2016,A225,,
2016,A226,,
2016,A227,,
2016,A228,,
2016,A229,,
2016,A230,,
2016,A231,,
2016,A232,,
2016,A234,,
2016,A235,,
2016,A236,,
2016,A237,,
2016,A238,,
2016,A239,,
2016,A240,,
2016,A241,,
2016,A242,,
2016,A243,,
2016,A244,,
2016,A245,,
2016,A246,,
2016,A247,,
2016,A248,,
2016,A249,,
2016,A250,,
2016,A251,,
2016,A252,,
2016,A253,,
2016,A254,,
2016,A255,,
2016,A256,,
2016,A257,,
2016,A258,,
2016,A259,,
2016,A260,,
2016,A261,,
2016,A262,,
2016,A263,,
2016,A264,,
2016,A265,,
2016,A266,,
2016,A267,,
2016,A268,,
2016,A269,,
2016,A270,,
2016,A271,,
2016,A272,,
2016,A273,,
2016,A274,,
2016,A275,,
2016,A276,,
2016,A277,,
2016,A278,,
2016,A279,,
2016,A280,,
2016,A281,,
2016,A282,,
2016,A283,,
2016,A284,,
2016,A286,,
2016,A288,,
2016,A289,,
2016,A290,,
2016,A291,,
2016,A292,,
2016,A293,,
2016,A294,,
2016,A295,,
2016,A296,,
2016,A297,,
2016,A298,,
2016,A299,,
2016,A300,,
2016,A301,,
2016,A303,,
2016,A304,,
2016,A305,,
2016,A306,,
2016,A307,,
2016,A308,,
2016,A309,,
2016,A310,,
2016,A311,,
2016,A312,,
2016,A313,,
2016,A314,,
2016,A315,,
2016,A316,,
2016,A317,,
2016,A318,,
2016,A319,,
2016,A320,,
2016,A321,,
2016,A322,,
2016,A323,,
2016,A324,,
2016,A325,,
2016,A326,,
2016,A327,,
2016,A328,,
2016,A329,,
2016,A330,,
2016,A331,,
2016,A332,,
2016,A333,,
2016,A334,,
2016,A335,,
2016,A336,,
2016,A337,,
2016,A338,,
2016,A339,,
2016,A340,,
2016,A341,,
2016,A342,,
2016,A343,,
2016,A344,,
2016,A345,,
2016,A346,,
2016,A347,,
2016,A348,,
2016,A349,,
2016,A350,,
2016,A351,,
2016,A352,,
2016,A353,,
2016,A354,,
2016,A355,,
2016,A356,,
2016,A357,,
2016,A358,,
2016,A359,,
2016,A360,,
2016,A361,,
2016,A362,,
2016,A363,,
2016,A364,,
2016,A365,,
2016,A366,,
2016,A367,,
2016,A368,,
2016,A369,,
2016,A370,,
2016,A371,,
2016,A372,,
2016,A373,,
2016,A374,,
2016,A375,,
2016,A376,,
2016,A377,,
2016,A378,,
2016,A379,,
2016,A380,,
2016,A381,,
2016,A382,,
2016,A383,,
2016,A384,,
2016,A385,,
2016,A386,,
2016,A387,,
2016,A388,,
2016,A389,,
2016,A390,,
2016,A391,,
2016,A392,,
2016,A393,,
2016,A394,,
2016,A395,,
2016,A396,,
2016,A397,,
2016,A398,,
2016,A399,,
2016,A400,,
2016,A401,,
2016,A402,,
2016,A403,,
2016,A404,,
2016,A405,,
2016,A406,,
2016,A407,,
2016,A408,,
2016,A409,,
2016,A410,,
2016,A411,,
2016,A412,,
2016,A413,,
2016,A414,,
2016,A415,,
2016,A416,,
2016,A417,,
2016,A419,,
2016,A420,,
2016,A421,,
2016,A422,,
2016,A423,,
2016,A424,,
2016,A424_1,,
2016,A425,,
2016,A426,,
2016,A427,,
2016,A428,,
2016,A429,,
2016,A430,,
2016,A431,,
2016,A432,,
2016,A433,,
2016,A434,,
2016,A435,,
2016,A436,,
2016,A437,,
2016,A438,,
2016,A439,,
2016,A440,,
2016,A441,,
2016,A442,,
2016,A443,,
2016,A444,,
2016,A445,,
2016,A446,,
2016,A447,,
2016,A448,,
2016,A449,,
2016,A450,,
2016,A451,,
2016,A452,,
2016,A453,,
2016,A454,,
2016,A455,,
2016,A456,,
2016,A457,,
2016,A458,,
2016,A459,,
2016,A460,,
2016,A461,,
2016,A462,,
2016,A463,,
2016,A464,,
2016,A465,,
2016,A466,,
2016,A467,,
2016,A468,,
2016,A469,,
2016,A470,,
2016,A471,,
2016,A472,,
2016,A473,,
2016,A474,,
2016,A475,,
2016,A476,,
2016,A477,,
2016,A478,,
2016,A479,,
2016,A480,,
2016,A481,,
2016,A482,,
2016,A483,,
2016,A484,,
2016,A485,,
2016,A486,,
2016,A487,,
2016,A488,,
2016,A489,,
2016,A490,,
2016,A491,,
2016,A492,,
2016,A493,,
2016,A494,,
2016,A495,,
2016,A496,,
2016,A497,,
2016,A498,,
2016,A499,,
2016,A500,,
2016,A501,,
2016,A502,,
2016,A503,,
2016,A504,,
2016,A505,,
2016,A506,,
2016,A507,,
2016,A508,,
2016,A509,,
2016,A510,,
2016,A511,,
2016,A512,,
2016,A513,,
2016,A514,,
2016,A515,,
2016,A516,,
2016,A517,,
2016,A518,,
2016,A519,,
2016,A520,,
2016,A521,,
2016,A522,,
2016,A523,,
2016,A524,,
2016,A525,,
2016,A526,,
2016,A527,,
2016,A528,,
2016,A529,,
2016,A530,,
2016,A531,,
2016,A532,,
2016,A533,,
2016,A534,,
2016,A535,,
2016,A536,,
2016,A537,,
2016,A538,,
2016,A539,,
2016,A540,,
2016,A541,,
2016,A542,,
2016,A543,,
2016,A544,,
2016,A545,,
2016,A546,,
2016,A547,,
2016,A548,,
2016,A549,,
2016,A550,,
2016,A551,,
2016,A552,,
2016,A553,,
2016,A554,,
2016,A555,,
2016,A556,,
2016,A557,,
2016,A558,,
2016,A559,,
2016,A560,,
2016,A561,,
2016,A562,,
2016,A563,,
2016,A564,,
2016,A565,,
2016,A566,,
2016,A567,,
2016,A568,,
2016,A569,,
2016,A570,,
2016,A571,,
2016,A572,,
2016,A573,,
2016,A574,,
2016,A575,,
2016,A576,,
2016,A577,,
2016,A578,,
2016,A579,,
2016,A580,,
2016,A581,,
2016,A582,,
2016,A583,,
2016,A584,,
2016,A585,,
2016,A586,,
2016,A587,,
2016,A588,,
2016,A589,,
2016,A590,,
2016,A591,,
2016,A592,,
2016,A593,,
2016,A594,,
2016,A595,,
2016,A596,,
2016,A597,,
2016,A598,,
2016,A599,,
2016,A600,,
2016,A601,,
2016,A602,,
2016,A603,,
2016,A604,,
2016,A605,,
2016,A606,,
2016,A607,,
2016,A608,,
2016,A609,,
2016,A610,,
2016,A611,,
2016,,autonomous_Republic_of_Crimea,
2016,,11_reg_Vinnytsya,
2016,,12_reg_Volyn,
2016,,13_reg_Dnipropetrovsk,
2016,,14_reg_Donetsk,
2016,,15_reg_Zhytomyr,
2016,,16_reg_Zakarpattya,
2016,,17_reg_Zaporizhzhya,
2016,,18_reg_Ivano-Frankivsk,
2016,,19_reg_Kyiv,
2016,,20_reg_Kirovohrad,
2016,,21_reg_Luhansk,
2016,,22_reg_Lviv,
2016,,23_reg_Mykolayiv,
2016,,24_reg_Odesa,
2016,,25_reg_Poltava,
2016,,26_reg_Rivne,
2016,,27_reg_Sumy,
2016,,28_reg_Ternopil,
2016,,29_reg_Kharkiv,
2016,,30_reg_Kherson,
2016,,31_reg_Khmelnytskiy,
2016,,32_reg_Cherkasy,
2016,,33_reg_Chernivtsi,
2016,,34_reg_Chernihiv,
2016,,Kyiv_city,
2016,,city_Sevastopol,
2017,,,
2017,A01,,
2017,A02,,
2017,A03,,
2017,A05,,
2017,A06,,
2017,A07,,
2017,A08,,
2017,A08_1,,
2017,A08_2,,
2017,A09,,
2017,A10,,
2017,A10_1,,
2017,A12,,
2017,A13,,
2017,A14,,
2017,A15,,
2017,A16,,
2017,A17,,
2017,A19,,
2017,A20,,
2017,A21,,
2017,A22,,
2017,A23,,
2017,A24,,
2017,A25,,
2017,A26,,
2017,A27,,
2017,A28,,
2017,A29,,
2017,A30,,
2017,A31,,
2017,A32,,
2017,A33,,
2017,A34,,
2017,A35,,
2017,A36,,
2017,A38,,
2017,A44,,
2017,A45,,
2017,A49,,
2017,A51,,
2017,A52,,
2017,A53,,
2017,A54,,
2017,A55,,
2017,A56,,
2017,A57,,
2017,A58,,
2017,A59,,
2017,A60,,
2017,A61,,
2017,A62,,
2017,A63,,
2017,A65,,
2017,A66,,
2017,A67,,
2017,A68,,
2017,A69,,
2017,A70,,
2017,A71,,
2017,A72,,
2017,A73,,
2017,A74,,
2017,A75,,
2017,A76,,
2017,A78,,
2017,A79,,
2017,A80,,
2017,A81,,
2017,A83,,
2017,A84,,
2017,A85,,
2017,A86,,
2017,A87,,
2017,A88,,
2017,A89,,
2017,A90,,
2017,A91,,
2017,A92,,
2017,A93,,
2017,A94,,
2017,A95,,
2017,A96,,
2017,A97,,
2017,A98,,
2017,A99,,
2017,A100,,
2017,A101,,
2017,A102,,
2017,A103,,
2017,A104,,
2017,A105,,
2017,A106,,
2017,A107,,
2017,A109,,
2017,A110,,
2017,A111,,
2017,A112,,
2017,A113,,
2017,A114,,
2017,A115,,
2017,A116,,
2017,A117,,
2017,A118,,
2017,A119,,
2017,A120,,
2017,A121,,
2017,A122,,
2017,A123,,
2017,A124,,
2017,A125,,
2017,A126,,
2017,A127,,
2017,A128,,
2017,A129,,
2017,A130,,
2017,A131,,
2017,A132,,
2017,A133,,
2017,A134,,
2017,A135,,
2017,A136,,
2017,A137,,
2017,A138,,
2017,A139,,
2017,A140,,
2017,A141,,
2017,A142,,
2017,A143,,
2017,A144,,
2017,A145,,
2017,A146,,
2017,A147,,
2017,A148,,
2017,A149,,
2017,A150,,
2017,A151,,
2017,A152,,
2017,A153,,
2017,A154,,
2017,A155,,
2017,A156,,
2017,A157,,
2017,A158,,
2017,A159,,
2017,A160,,
2017,A162,,
2017,A163,,
2017,A164,,
2017,A165,,
2017,A166,,
2017,A167,,
2017,A168,,
2017,A169,,
2017,A170,,
2017,A171,,
2017,A172,,
2017,A173,,
2017,A174,,
2017,A175,,
2017,A176,,
2017,A177,,
2017,A178,,
2017,A179,,
2017,A180,,
2017,A182,,
2017,A184,,
2017,A185,,
2017,A186,,
2017,A187,,
2017,A188,,
2017,A189,,
2017,A190,,
2017,A191,,
2017,A192,,
2017,A193,,
2017,A195,,
2017,A196,,
2017,A197,,
2017,A198,,
2017,A199,,
2017,A200,,
2017,A201,,
2017,A202,,
2017,A203,,
2017,A204,,
2017,A205,,
2017,A206,,
2017,A207,,
2017,A208,,
2017,A209,,
2017,A210,,
2017,A211,,
2017,A212,,
2017,A213,,
2017,A214,,
2017,A216,,
2017,A217,,
2017,A218,,
2017,A219,,
2017,A220,,
2017,A221,,
2017,A222,,
2017,A223,,
2017,A224,,
2017,A225,,
2017,A226,,
2017,A227,,
2017,A228,,
2017,A229,,
2017,A230,,
2017,A231,,
2017,A232,,
2017,A234,,
2017,A235,,
2017,A236,,
2017,A237,,
2017,A238,,
2017,A239,,
2017,A240,,
2017,A241,,
2017,A242,,
2017,A243,,
2017,A244,,
2017,A245,,
2017,A246,,
2017,A247,,
2017,A248,,
2017,A249,,
2017,A250,,
2017,A251,,
2017,A252,,
2017,A253,,
2017,A254,,
2017,A255,,
2017,A256,,
2017,A257,,
2017,A258,,
2017,A259,,
2017,A260,,
2017,A261,,
2017,A262,,
2017,A263,,
2017,A264,,
2017,A265,,
2017,A266,,
2017,A267,,
2017,A268,,
2017,A269,,
2017,A270,,
2017,A271,,
2017,A272,,
2017,A273,,
2017,A274,,
2017,A275,,
2017,A276,,
2017,A277,,
2017,A278,,
2017,A279,,
2017,A280,,
2017,A281,,
2017,A282,,
2017,A283,,
2017,A284,,
2017,A286,,
2017,A288,,
2017,A289,,
2017,A290,,
2017,A291,,
2017,A292,,
2017,A293,,
2017,A294,,
2017,A295,,
2017,A296,,
2017,A297,,
2017,A298,,
2017,A299,,
2017,A300,,
2017,A301,,
2017,A303,,
2017,A304,,
2017,A305,,
2017,A306,,
2017,A307,,
2017,A308,,
2017,A309,,
2017,A310,,
2017,A311,,
2017,A312,,
2017,A313,,
2017,A314,,
2017,A315,,
2017,A316,,
2017,A317,,
2017,A318,,
2017,A319,,
2017,A320,,
2017,A321,,
2017,A322,,
2017,A323,,
2017,A324,,
2017,A325,,
2017,A326,,
2017,A327,,
2017,A328,,
2017,A329,,
2017,A330,,
2017,A331,,
2017,A332,,
2017,A333,,
2017,A334,,
2017,A335,,
2017,A336,,
2017,A337,,
2017,A338,,
2017,A339,,
2017,A340,,
2017,A341,,
2017,A342,,
2017,A343,,
2017,A344,,
2017,A345,,
2017,A346,,
2017,A347,,
2017,A348,,
2017,A349,,
2017,A350,,
2017,A351,,
2017,A352,,
2017,A353,,
2017,A354,,
2017,A355,,
2017,A356,,
2017,A357,,
2017,A358,,
2017,A359,,
2017,A360,,
2017,A361,,
2017,A362,,
2017,A363,,
2017,A364,,
2017,A365,,
2017,A366,,
2017,A367,,
2017,A368,,
2017,A369,,
2017,A370,,
2017,A371,,
2017,A372,,
2017,A373,,
2017,A374,,
2017,A375,,
2017,A376,,
2017,A377,,
2017,A378,,
2017,A379,,
2017,A380,,
2017,A381,,
2017,A382,,
2017,A383,,
2017,A384,,
2017,A385,,
2017,A386,,
2017,A387,,
2017,A388,,
2017,A389,,
2017,A390,,
2017,A391,,
2017,A392,,
2017,A393,,
2017,A394,,
2017,A395,,
2017,A396,,
2017,A397,,
2017,A398,,
2017,A399,,
2017,A400,,
2017,A401,,
2017,A402,,
2017,A403,,
2017,A404,,
2017,A405,,
2017,A406,,
2017,A407,,
2017,A408,,
2017,A409,,
2017,A410,,
2017,A411,,
2017,A412,,
2017,A413,,
2017,A414,,
2017,A415,,
2017,A416,,
2017,A417,,
2017,A419,,
2017,A420,,
2017,A421,,
2017,A422,,
2017,A423,,
2017,A424,,
2017,A424_1,,
2017,A425,,
2017,A426,,
2017,A427,,
2017,A428,,
2017,A429,,
2017,A430,,
2017,A431,,
2017,A432,,
2017,A433,,
2017,A434,,
2017,A435,,
2017,A436,,
2017,A437,,
2017,A438,,
2017,A439,,
2017,A440,,
2017,A441,,
2017,A442,,
2017,A443,,
2017,A444,,
2017,A445,,
2017,A446,,
2017,A447,,
2017,A448,,
2017,A449,,
2017,A450,,
2017,A451,,
2017,A452,,
2017,A453,,
2017,A454,,
2017,A455,,
2017,A456,,
2017,A457,,
2017,A458,,
2017,A459,,
2017,A460,,
2017,A461,,
2017,A462,,
2017,A463,,
2017,A464,,
2017,A465,,
2017,A466,,
2017,A467,,
2017,A468,,
2017,A469,,
2017,A470,,
2017,A471,,
2017,A472,,
2017,A473,,
2017,A474,,
2017,A475,,
2017,A476,,
2017,A477,,
2017,A478,,
2017,A479,,
2017,A480,,
2017,A481,,
2017,A482,,
2017,A483,,
2017,A484,,
2017,A485,,
2017,A486,,
2017,A487,,
2017,A488,,
2017,A489,,
2017,A490,,
2017,A491,,
2017,A492,,
2017,A493,,
2017,A494,,
2017,A495,,
2017,A496,,
2017,A497,,
2017,A498,,
2017,A499,,
2017,A500,,
2017,A501,,
2017,A502,,
2017,A503,,
2017,A504,,
2017,A505,,
2017,A506,,
2017,A507,,
2017,A508,,
2017,A509,,
2017,A510,,
2017,A511,,
2017,A512,,
2017,A513,,
2017,A514,,
2017,A515,,
2017,A516,,
2017,A517,,
2017,A518,,
2017,A519,,
2017,A520,,
2017,A521,,
2017,A522,,
2017,A523,,
2017,A524,,
2017,A525,,
2017,A526,,
2017,A527,,
2017,A528,,
2017,A529,,
2017,A530,,
2017,A531,,
2017,A532,,
2017,A533,,
2017,A534,,
2017,A535,,
2017,A536,,
2017,A537,,
2017,A538,,
2017,A539,,
2017,A540,,
2017,A541,,
2017,A542,,
2017,A543,,
2017,A544,,
2017,A545,,
2017,A546,,
2017,A547,,
2017,A548,,
2017,A549,,
2017,A550,,
2017,A551,,
2017,A552,,
2017,A553,,
2017,A554,,
2017,A555,,
2017,A556,,
2017,A557,,
2017,A558,,
2017,A559,,
2017,A560,,
2017,A561,,
2017,A562,,
2017,A563,,
2017,A564,,
2017,A565,,
2017,A566,,
2017,A567,,
2017,A568,,
2017,A569,,
2017,A570,,
2017,A571,,
2017,A572,,
2017,A573,,
2017,A574,,
2017,A575,,
2017,A576,,
2017,A577,,
2017,A578,,
2017,A579,,
2017,A580,,
2017,A581,,
2017,A582,,
2017,A583,,
2017,A584,,
2017,A585,,
2017,A586,,
2017,A587,,
2017,A588,,
2017,A589,,
2017,A590,,
2017,A591,,
2017,A592,,
2017,A593,,
2017,A594,,
2017,A595,,
2017,A596,,
2017,A597,,
2017,A598,,
2017,A599,,
2017,A600,,
2017,A601,,
2017,A602,,
2017,A603,,
2017,A604,,
2017,A605,,
2017,A606,,
2017,A607,,
2017,A608,,
2017,A609,,
2017,A610,,
2017,A611,,
2017,,autonomous_Republic_of_Crimea,
2017,,11_reg_Vinnytsya,
2017,,12_reg_Volyn,
2017,,13_reg_Dnipropetrovsk,
2017,,14_reg_Donetsk,
2017,,15_reg_Zhytomyr,
2017,,16_reg_Zakarpattya,
2017,,17_reg_Zaporizhzhya,
2017,,18_reg_Ivano-Frankivsk,
2017,,19_reg_Kyiv,
2017,,20_reg_Kirovohrad,
2017,,21_reg_Luhansk,
2017,,22_reg_Lviv,
2017,,23_reg_Mykolayiv,
2017,,24_reg_Odesa,
2017,,25_reg_Poltava,
2017,,26_reg_Rivne,
2017,,27_reg_Sumy,
2017,,28_reg_Ternopil,
2017,,29_reg_Kharkiv,
2017,,30_reg_Kherson,
2017,,31_reg_Khmelnytskiy,
2017,,32_reg_Cherkasy,
2017,,33_reg_Chernivtsi,
2017,,34_reg_Chernihiv,
2017,,Kyiv_city,
2017,,city_Sevastopol,
2018,,,
2018,A01,,
2018,A02,,
2018,A03,,
2018,A05,,
2018,A06,,
2018,A07,,
2018,A08,,
2018,A08_1,,
2018,A08_2,,
2018,A09,,
2018,A10,,
2018,A10_1,,
2018,A12,,
2018,A13,,
2018,A14,,
2018,A15,,
2018,A16,,
2018,A17,,
2018,A19,,
2018,A20,,
2018,A21,,
2018,A22,,
2018,A23,,
2018,A24,,
2018,A25,,
2018,A26,,
2018,A27,,
2018,A28,,
2018,A29,,
2018,A30,,
2018,A31,,
2018,A32,,
2018,A33,,
2018,A34,,
2018,A35,,
2018,A36,,
2018,A38,,
2018,A44,,
2018,A45,,
2018,A49,,
2018,A51,,
2018,A52,,
2018,A53,,
2018,A54,,
2018,A55,,
2018,A56,,
2018,A57,,
2018,A58,,
2018,A59,,
2018,A60,,
2018,A61,,
2018,A62,,
2018,A63,,
2018,A65,,
2018,A66,,
2018,A67,,
2018,A68,,
2018,A69,,
2018,A70,,
2018,A71,,
2018,A72,,
2018,A73,,
2018,A74,,
2018,A75,,
2018,A76,,
2018,A78,,
2018,A79,,
2018,A80,,
2018,A81,,
2018,A83,,
2018,A84,,
2018,A85,,
2018,A86,,
2018,A87,,
2018,A88,,
2018,A89,,
2018,A90,,
2018,A91,,
2018,A92,,
2018,A93,,
2018,A94,,
2018,A95,,
2018,A96,,
2018,A97,,
2018,A98,,
2018,A99,,
2018,A100,,
2018,A101,,
2018,A102,,
2018,A103,,
2018,A104,,
2018,A105,,
2018,A106,,
2018,A107,,
2018,A109,,
2018,A110,,
2018,A111,,
2018,A112,,
2018,A113,,
2018,A114,,
2018,A115,,
2018,A116,,
2018,A117,,
2018,A118,,
2018,A119,,
2018,A120,,
2018,A121,,
2018,A122,,
2018,A123,,
2018,A124,,
2018,A125,,
2018,A126,,
2018,A127,,
2018,A128,,
2018,A129,,
2018,A130,,
2018,A131,,
2018,A132,,
2018,A133,,
2018,A134,,
2018,A135,,
2018,A136,,
2018,A137,,
2018,A138,,
2018,A139,,
2018,A140,,
2018,A141,,
2018,A142,,
2018,A143,,
2018,A144,,
2018,A145,,
2018,A146,,
2018,A147,,
2018,A148,,
2018,A149,,
2018,A150,,
2018,A151,,
2018,A152,,
2018,A153,,
2018,A154,,
2018,A155,,
2018,A156,,
2018,A157,,
2018,A158,,
2018,A159,,
2018,A160,,
2018,A162,,
2018,A163,,
2018,A164,,
2018,A165,,
2018,A166,,
2018,A167,,
2018,A168,,
2018,A169,,
2018,A170,,
2018,A171,,
2018,A172,,
2018,A173,,
2018,A174,,
2018,A175,,
2018,A176,,
2018,A177,,
2018,A178,,
2018,A179,,
2018,A180,,
2018,A182,,
2018,A184,,
2018,A185,,
2018,A186,,
2018,A187,,
2018,A188,,
2018,A189,,
2018,A190,,
2018,A191,,
2018,A192,,
2018,A193,,
2018,A195,,
2018,A196,,
2018,A197,,
2018,A198,,
2018,A199,,
2018,A200,,
2018,A201,,
2018,A202,,
2018,A203,,
2018,A204,,
2018,A205,,
2018,A206,,
2018,A207,,
2018,A208,,
2018,A209,,
2018,A210,,
2018,A211,,
2018,A212,,
2018,A213,,
2018,A214,,
2018,A216,,
2018,A217,,
2018,A218,,
2018,A219,,
2018,A220,,
2018,A221,,
2018,A222,,
2018,A223,,
2018,A224,,
2018,A225,,
2018,A226,,
2018,A227,,
2018,A228,,
2018,A229,,
2018,A230,,
2018,A231,,
2018,A232,,
2018,A234,,
2018,A235,,
2018,A236,,
2018,A237,,
2018,A238,,
2018,A239,,
2018,A240,,
2018,A241,,
2018,A242,,
2018,A243,,
2018,A244,,
2018,A245,,
2018,A246,,
2018,A247,,
2018,A248,,
2018,A249,,
2018,A250,,
2018,A251,,
2018,A252,,
2018,A253,,
2018,A254,,
2018,A255,,
2018,A256,,
2018,A257,,
2018,A258,,
2018,A259,,
2018,A260,,
2018,A261,,
2018,A262,,
2018,A263,,
2018,A264,,
2018,A265,,
2018,A266,,
2018,A267,,
2018,A268,,
2018,A269,,
2018,A270,,
2018,A271,,
2018,A272,,
2018,A273,,
2018,A274,,
2018,A275,,
2018,A276,,
2018,A277,,
2018,A278,,
2018,A279,,
2018,A280,,
2018,A281,,
2018,A282,,
2018,A283,,
2018,A284,,
2018,A286,,
2018,A288,,
2018,A289,,
2018,A290,,
2018,A291,,
2018,A292,,
2018,A293,,
2018,A294,,
2018,A295,,
2018,A296,,
2018,A297,,
2018,A298,,
2018,A299,,
2018,A300,,
2018,A301,,
2018,A303,,
2018,A304,,
2018,A305,,
2018,A306,,
2018,A307,,
2018,A308,,
2018,A309,,
2018,A310,,
2018,A311,,
2018,A312,,
2018,A313,,
2018,A314,,
2018,A315,,
2018,A316,,
2018,A317,,
2018,A318,,
2018,A319,,
2018,A320,,
2018,A321,,
2018,A322,,
2018,A323,,
2018,A324,,
2018,A325,,
2018,A326,,
2018,A327,,
2018,A328,,
2018,A329,,
2018,A330,,
2018,A331,,
2018,A332,,
2018,A333,,
2018,A334,,
2018,A335,,
2018,A336,,
2018,A337,,
2018,A338,,
2018,A339,,
2018,A340,,
2018,A341,,
2018,A342,,
2018,A343,,
2018,A344,,
2018,A345,,
2018,A346,,
2018,A347,,
2018,A348,,
2018,A349,,
2018,A350,,
2018,A351,,
2018,A352,,
2018,A353,,
2018,A354,,
2018,A355,,
2018,A356,,
2018,A357,,
2018,A358,,
2018,A359,,
2018,A360,,
2018,A361,,
2018,A362,,
2018,A363,,
2018,A364,,
2018,A365,,
2018,A366,,
2018,A367,,
2018,A368,,
2018,A369,,
2018,A370,,
2018,A371,,
2018,A372,,
2018,A373,,
2018,A374,,
2018,A375,,
2018,A376,,
2018,A377,,
2018,A378,,
2018,A379,,
2018,A380,,
2018,A381,,
2018,A382,,
2018,A383,,
2018,A384,,
2018,A385,,
2018,A386,,
2018,A387,,
2018,A388,,
2018,A389,,
2018,A390,,
2018,A391,,
2018,A392,,
2018,A393,,
2018,A394,,
2018,A395,,
2018,A396,,
2018,A397,,
2018,A398,,
2018,A399,,
2018,A400,,
2018,A401,,
2018,A402,,
2018,A403,,
2018,A404,,
2018,A405,,
2018,A406,,
2018,A407,,
2018,A408,,
2018,A409,,
2018,A410,,
2018,A411,,
2018,A412,,
2018,A413,,
2018,A414,,
2018,A415,,
2018,A416,,
2018,A417,,
2018,A419,,
2018,A420,,
2018,A421,,
2018,A422,,
2018,A423,,
2018,A424,,
2018,A424_1,,
2018,A425,,
2018,A426,,
2018,A427,,
2018,A428,,
2018,A429,,
2018,A430,,
2018,A431,,
2018,A432,,
2018,A433,,
2018,A434,,
2018,A435,,
2018,A436,,
2018,A437,,
2018,A438,,
2018,A439,,
2018,A440,,
2018,A441,,
2018,A442,,
2018,A443,,
2018,A444,,
2018,A445,,
2018,A446,,
2018,A447,,
2018,A448,,
2018,A449,,
2018,A450,,
2018,A451,,
2018,A452,,
2018,A453,,
2018,A454,,
2018,A455,,
2018,A456,,
2018,A457,,
2018,A458,,
2018,A459,,
2018,A460,,
2018,A461,,
2018,A462,,
2018,A463,,
2018,A464,,
2018,A465,,
2018,A466,,
2018,A467,,
2018,A468,,
2018,A469,,
2018,A470,,
2018,A471,,
2018,A472,,
