Year,Місцевість проживання,Вік,Стать,Область,Value
2023,,18–29 років,,,
2023,,30–59 років,,,
2023,,60 років і старші,,,
2023,міська,,,,
2023,сільська,,,,
2023,,,,Автономна Республіка Крим,
2023,,,,Вінницька,
2023,,,,Волинська,
2023,,,,Дніпропетровська,
2023,,,,Донецька,
2023,,,,Житомирська,
2023,,,,Закарпатська,
2023,,,,Запорізька,
2023,,,,Івано-Франківська,
2023,,,,Київська,
2023,,,,Кіровоградська,
2023,,,,Луганська,
2023,,,,Львівська,
2023,,,,Миколаївська,
2023,,,,Одеська,
2023,,,,Полтавська,
2023,,,,Рівненська,
2023,,,,Сумська,
2023,,,,Тернопільська,
2023,,,,Харківська,
2023,,,,Херсонська,
2023,,,,Хмельницька,
2023,,,,Черкаська,
2023,,,,Чернівецька,
2023,,,,Чернігівська,
2023,,,,м. Київ,
2023,,,,м. Севастополь,
2024,,,,,
2024,,,жінки,,
2024,,,чоловіки,,
2024,,до 18 років,,,
2024,,18–29 років,,,
2024,,30–59 років,,,
2024,,60 років і старші,,,
2024,міська,,,,
2024,сільська,,,,
2024,,,,Автономна Республіка Крим,
2024,,,,Вінницька,
2024,,,,Волинська,
2024,,,,Дніпропетровська,
2024,,,,Донецька,
2024,,,,Житомирська,
2024,,,,Закарпатська,
2024,,,,Запорізька,
2024,,,,Івано-Франківська,
2024,,,,Київська,
2024,,,,Кіровоградська,
2024,,,,Луганська,
2024,,,,Львівська,
2024,,,,Миколаївська,
2024,,,,Одеська,
2024,,,,Полтавська,
2024,,,,Рівненська,
2024,,,,Сумська,
2024,,,,Тернопільська,
2024,,,,Харківська,
2024,,,,Херсонська,
2024,,,,Хмельницька,
2024,,,,Черкаська,
2024,,,,Чернівецька,
2024,,,,Чернігівська,
2024,,,,м. Київ,
2024,,,,м. Севастополь,
