Year,Type of educational institution,Region,Value
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2016,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2017,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2018,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2021,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,58.88
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,51.54
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,50.52
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,54.78
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,54.12
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,65.18
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,52.08
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,45.43
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,55.36
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,66.96
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,43.64
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,55.11
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,51.18
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,72.07
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,56.09
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,49.13
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,73.28
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,53.42
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,62.64
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,27.32
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,61.88
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,64.58
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,87.95
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,43.53
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,80.91
2022,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,62.15
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,58.78
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,50.05
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,54.86
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,48.81
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,66.83
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,56.09
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,50.47
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,58.11
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,71.71
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,50.35
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,57.8
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,57.02
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,76.56
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,61.47
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,55.11
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,76.35
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,58.14
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,63.89
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,19.83
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,65.13
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,71.48
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,86.7
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,45.95
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,78.73
2023,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,65.13
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,60.52
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,56.5
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,54.49
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,50.43
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,68.36
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,57.43
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,78.31
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,59.55
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,74.32
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,57.28
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,14.29
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,61.48
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,58.63
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,77.25
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,62.32
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,57.09
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,74.43
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,64.52
2024,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,63.53
